query	code	rev	size	ac	org	taxid	NCBI_DNA	NCBI_AA	ip	pfam
A6P5D3	A6P5D3_LISMO	Unreviewed	151	A6P5D3	Listeria monocytogenes.	1639	AB276557	BAF65854.1	IPR001608	PF01168
Q83Z18	Q83Z18_LISMO	Unreviewed	151	Q83Z18	Listeria monocytogenes.	1639	AY259703	AAP20320.1	IPR001608	PF01168
Q83UY4	Q83UY4_LISMO	Unreviewed	151	Q83UY4	Listeria monocytogenes.	1639	AB276614	BAF65911.1	IPR001608	PF01168
A6P5D2	A6P5D2_LISMO	Unreviewed	151	A6P5D2	Listeria monocytogenes.	1639	AB276556	BAF65853.1	IPR001608	PF01168
A6P5I4	A6P5I4_LISMO	Unreviewed	151	A6P5I4	Listeria monocytogenes.	1639	AB276608	BAF65905.1	IPR001608	PF01168
Q83UR9	Q83UR9_LISMO	Unreviewed	151	Q83UR9	Listeria monocytogenes.	1639	AB276580	BAF65877.1	IPR001608	PF01168
B8X1P8	B8X1P8_LISMO	Unreviewed	153	B8X1P8	Listeria monocytogenes.	1639	FJ024783	ACL37566.1	IPR001608	PF01168
B8X1Q6	B8X1Q6_LISMO	Unreviewed	153	B8X1Q6	Listeria monocytogenes.	1639	FJ024773	ACL37556.1	IPR001608	PF01168
B8X1P9	B8X1P9_LISMO	Unreviewed	153	B8X1P9	Listeria monocytogenes.	1639	FJ024784	ACL37567.1	IPR001608	PF01168
B2G855	B2G855_LACRJ	Unreviewed	160	B2G855	Lactobacillus reuteri (strain JCM 1112).	557433	AP007281	BAG25637.1	IPR011078	PF01168
Q3XWD2	Q3XWD2_ENTFC	Unreviewed	300	Q3XWD2	Enterococcus faecium DO.	333849	AAAK03000140	EAN08535.1	IPR001608	PF01168
A3Z2J3	A3Z2J3_9SYNE	Unreviewed	171	A3Z2J3	Synechococcus sp. WH 5701.	69042	AANO01000037	EAQ73667.1	IPR011078	PF01168
C0DC26	C0DC26_9CLOT	Unreviewed	331	C0DC26	Clostridium asparagiforme DSM 15981.	518636	ACCJ01000607	EEG51117.1	IPR001608	PF01168
Q5H300	Q5H300_XANOR	Unreviewed	176	Q5H300	Xanthomonas oryzae pv. oryzae.	64187	AE013598	AAW74671.1	IPR011078	PF01168
A6F6T4	A6F6T4_9GAMM	Unreviewed	305	A6F6T4	Moritella sp. PE36.	58051	ABCQ01000001	EDM69265.1	IPR001608	PF01168
C3WKN8	C3WKN8_9FUSO	Unreviewed	315	C3WKN8	Fusobacterium sp. 2_1_31.	469599	GG657937	EEO38444.1	IPR001608	PF01168
C0GZ58										
B2V761	B2V761_SULSY	Unreviewed	324	B2V761	Sulfurihydrogenibium sp. (strain YO3AOP1).	436114	CP001080	ACD65843.1	IPR001608	PF01168
A7JG28	A7JG28_FRANO	Unreviewed	321	A7JG28	Francisella novicida GA99-3549.	430558	DS264126	EDN35669.1	IPR001608	PF01168
A7JK99	A7JK99_FRANO	Unreviewed	321	A7JK99	Francisella novicida GA99-3548.	442346	DS264588	EDN37140.1	IPR001608	PF01168
C1YUH1										
A0YDF5	A0YDF5_9GAMM	Unreviewed	338	A0YDF5	marine gamma proteobacterium HTCC2143.	247633	AAVT01000004	EAW31258.1	IPR001608	PF01168
A2BPM2	A2BPM2_PROMS	Unreviewed	190	A2BPM2	Prochlorococcus marinus (strain AS9601).	146891	CP000551	ABM69733.1	IPR011078	PF01168
Q3II87	Q3II87_PSEHT	Unreviewed	330	Q3II87	Pseudoalteromonas haloplanktis (strain TAC 125).	326442	CR954246	CAI87483.1	IPR020622	PF01168
C0N8E2	C0N8E2_9GAMM	Unreviewed	334	C0N8E2	Methylophaga thiooxidans DMS010.	637616	GG657903	EEF78964.1	IPR020622	PF01168
Q2GB92	Q2GB92_NOVAD	Unreviewed	191	Q2GB92	Novosphingobium aromaticivorans (strain DSM 12444).	279238	CP000248	ABD24881.1	IPR011078	PF01168
C4T782	C4T782_YERIN	Unreviewed	192	C4T782	Yersinia intermedia ATCC 29909.	349965	AALF02000047	EEQ17161.1	IPR011078	PF01168
Q3AZ62	Q3AZ62_SYNS9	Unreviewed	199	Q3AZ62	Synechococcus sp. (strain CC9902).	316279	CP000097	ABB25615.1	IPR011078	PF01168
B4D6I5	B4D6I5_9BACT	Unreviewed	335	B4D6I5	Chthoniobacter flavus Ellin428.	497964	ABVL01000016	EDY17786.1	IPR020622	PF01168
A5I3C7	A5I3C7_CLOBH	Unreviewed	322	A5I3C7	Clostridium botulinum (strain Hall / ATCC 3502 / NCTC 13319 / Type A).	441771	AM412317	CAL83545.1	IPR001608	PF01168
B0N847	B0N847_9FIRM	Unreviewed	341	B0N847	Clostridium ramosum DSM 1402.	445974	ABFX02000008	EDS17985.1	IPR020622	PF01168
B7R7X7	B7R7X7_9THEO	Unreviewed	197	B7R7X7	Carboxydibrachium pacificum DSM 12653.	391606	DS999081	EEB75982.1	IPR011078	PF01168
B0K2W7	B0K2W7_THEPX	Unreviewed	202	B0K2W7	Thermoanaerobacter sp. (strain X514).	399726	CP000923	ABY93172.1	IPR011078	PF01168
B0K8R1	B0K8R1_THEP3	Unreviewed	202	B0K8R1	(Clostridium thermohydrosulfuricum).	340099	CP000924	ABY94524.1	IPR011078	PF01168
Q8R9K7	Q8R9K7_THETN	Unreviewed	197	Q8R9K7	Thermoanaerobacter tengcongensis.	119072	AE008691	AAM24804.1	IPR011078	PF01168
A6BAD7	A6BAD7_VIBPA	Unreviewed	214	A6BAD7	Vibrio parahaemolyticus AQ3810.	419109	AAWQ01000399	EDM56866.1	IPR011078	PF01168
C4SGE6	C4SGE6_YERMO	Unreviewed	198	C4SGE6	Yersinia mollaretii ATCC 43969.	349967	AALD02000041	EEQ09343.1	IPR011078	PF01168
C3AFM1	C3AFM1_BACMY	Unreviewed	340	C3AFM1	Bacillus mycoides DSM 2048.	526997	ACMU01000173	EEL96014.1	IPR020622	PF01168
C4S6Y3	C4S6Y3_YERBE	Unreviewed	198	C4S6Y3	Yersinia bercovieri ATCC 43970.	349968	AALC02000100	EEQ04804.1	IPR011078	PF01168
B4RX17	B4RX17_ALTMD	Unreviewed	202	B4RX17	Alteromonas macleodii (strain DSM 17117 / Deep ecotype).	314275	CP001103	ACG67590.1	IPR011078	PF01168
B8CS70	B8CS70_SHEPW	Unreviewed	214	B8CS70	Shewanella piezotolerans (strain WP3 / JCM 13877).	225849	CP000472	ACJ30360.1	IPR011078	PF01168
C3HZA3	C3HZA3_BACTU	Unreviewed	340	C3HZA3	Bacillus thuringiensis IBL 200.	527019	ACNK01000040	EEM96940.1	IPR020622	PF01168
C3GN04	C3GN04_BACTU	Unreviewed	200	C3GN04	Bacillus thuringiensis serovar pondicheriensis BGSC 4BA1.	527029	ACNH01000068	EEM76361.1	IPR011078	PF01168
C2PJ64	C2PJ64_BACCE	Unreviewed	200	C2PJ64	Bacillus cereus MM3.	526971	ACLW01000076	EEK66164.1	IPR011078	PF01168
C2P2P3	C2P2P3_BACCE	Unreviewed	200	C2P2P3	Bacillus cereus 172560W.	526967	ACLV01000064	EEK60862.1	IPR011078	PF01168
C3CMV3	C3CMV3_BACTU	Unreviewed	200	C3CMV3	Bacillus thuringiensis Bt407.	527021	ACMZ01000094	EEM27586.1	IPR011078	PF01168
C2YVI4	C2YVI4_BACCE	Unreviewed	200	C2YVI4	Bacillus cereus AH1271.	526992	ACMR01000157	EEL80801.1	IPR011078	PF01168
C3F612	C3F612_BACTU	Unreviewed	200	C3F612	Bacillus thuringiensis serovar monterrey BGSC 4AJ1.	527022	ACNE01000099	EEM58471.1	IPR011078	PF01168
C3G766	C3G766_BACTU	Unreviewed	200	C3G766	Bacillus thuringiensis serovar andalousiensis BGSC 4AW1.	527032	ACNG01000084	EEM70187.1	IPR011078	PF01168
C2VFX0	C2VFX0_BACCE	Unreviewed	200	C2VFX0	Bacillus cereus Rock3-29.	526984	ACMJ01000064	EEL38921.1	IPR011078	PF01168
C3HMR2	C3HMR2_BACTU	Unreviewed	200	C3HMR2	Bacillus thuringiensis serovar pulsiensis BGSC 4CC1.	527028	ACNJ01000081	EEM88199.1	IPR011078	PF01168
C2X1W0	C2X1W0_BACCE	Unreviewed	200	C2X1W0	Bacillus cereus Rock4-18.	526988	ACMN01000068	EEL59624.1	IPR011078	PF01168
C2XFQ9	C2XFQ9_BACCE	Unreviewed	200	C2XFQ9	Bacillus cereus F65185.	526989	ACMO01000097	EEL63644.1	IPR011078	PF01168
C2UI16	C2UI16_BACCE	Unreviewed	200	C2UI16	Bacillus cereus Rock1-15.	526982	ACMH01000086	EEL27437.1	IPR011078	PF01168
C2RC92	C2RC92_BACCE	Unreviewed	200	C2RC92	Bacillus cereus m1550.	526969	ACMA01000064	EEK88081.1	IPR011078	PF01168
C2MPN0	C2MPN0_BACCE	Unreviewed	200	C2MPN0	Bacillus cereus m1293.	526973	ACLS01000092	EEK43595.1	IPR011078	PF01168
C3EPL1	C3EPL1_BACTK	Unreviewed	200	C3EPL1	Bacillus thuringiensis serovar kurstaki str. T03a001.	527023	ACND01000109	EEM52088.1	IPR011078	PF01168
P57614	Y549_BUCAI	Reviewed	200	P57614	symbiotic bacterium).	118099	BA000003	BAB13241.1	IPR011078	PF01168
C2S7V5	C2S7V5_BACCE	Unreviewed	200	C2S7V5	Bacillus cereus BDRD-ST26.	526975	ACMC01000073	EEK99386.1	IPR011078	PF01168
C2T505	C2T505_BACCE	Unreviewed	200	C2T505	Bacillus cereus BDRD-Cer4.	526978	ACME01000062	EEL10280.1	IPR011078	PF01168
C2RS54	C2RS54_BACCE	Unreviewed	200	C2RS54	Bacillus cereus BDRD-ST24.	526974	ACMB01000074	EEK93564.1	IPR011078	PF01168
C2U1L4	C2U1L4_BACCE	Unreviewed	200	C2U1L4	Bacillus cereus Rock1-3.	526981	ACMG01000062	EEL21473.1	IPR011078	PF01168
C2TKM1	C2TKM1_BACCE	Unreviewed	200	C2TKM1	Bacillus cereus 95/8201.	526979	ACMF01000061	EEL15826.1	IPR011078	PF01168
C3I521	C3I521_BACTU	Unreviewed	200	C3I521	Bacillus thuringiensis IBL 200.	527019	ACNK01000074	EEM94846.1	IPR011078	PF01168
C2UZD8	C2UZD8_BACCE	Unreviewed	200	C2UZD8	Bacillus cereus Rock3-28.	526983	ACMI01000154	EEL33115.1	IPR011078	PF01168
C3FP82	C3FP82_BACTB	Unreviewed	200	C3FP82	Bacillus thuringiensis serovar berliner ATCC 10792.	527031	ACNF01000088	EEM64735.1	IPR011078	PF01168
C3D5V0	C3D5V0_BACTU	Unreviewed	200	C3D5V0	Bacillus thuringiensis serovar thuringiensis str. T01001.	527025	ACNA01000087	EEM33790.1	IPR011078	PF01168
C3H598	C3H598_BACTU	Unreviewed	200	C3H598	Bacillus thuringiensis serovar huazhongensis BGSC 4BD1.	527030	ACNI01000082	EEM82423.1	IPR011078	PF01168
C2WRS6	C2WRS6_BACCE	Unreviewed	200	C2WRS6	Bacillus cereus Rock4-2.	526987	ACMM01000177	EEL54673.1	IPR011078	PF01168
C2N586	C2N586_BACCE	Unreviewed	200	C2N586	Bacillus cereus ATCC 10876.	526980	ACLT01000083	EEK49246.1	IPR011078	PF01168
B8D9X1	B8D9X1_BUCA5	Unreviewed	200	B8D9X1	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain 5A).	563178	CP001161	ACL30892.1	IPR011078	PF01168
C2YEE9	C2YEE9_BACCE	Unreviewed	200	C2YEE9	Bacillus cereus AH676.	526991	ACMQ01000165	EEL75187.1	IPR011078	PF01168
C2NLV6	C2NLV6_BACCE	Unreviewed	200	C2NLV6	Bacillus cereus BGSC 6E1.	526970	ACLU01000086	EEK54968.1	IPR011078	PF01168
C3E7F4	C3E7F4_BACTU	Unreviewed	200	C3E7F4	Bacillus thuringiensis serovar pakistani str. T13001.	527027	ACNC01000134	EEM46587.1	IPR011078	PF01168
B8D873	B8D873_BUCAT	Unreviewed	200	B8D873	Buchnera aphidicola subsp. Acyrthosiphon pisum (strain Tuc7).	561501	CP001158	ACL30338.1	IPR011078	PF01168
B3JUA7										
C4SKV7	C4SKV7_YERFR	Unreviewed	203	C4SKV7	Yersinia frederiksenii ATCC 33641.	349966	AALE02000003	EEQ16274.1	IPR011078	PF01168
B9KG92	B9KG92_CAMLR	Unreviewed	205	B9KG92	Campylobacter lari (strain RM2100 / D67 / ATCC BAA-1060).	306263	CP000932	ACM64077.1	IPR011078	PF01168
B6WXW5	B6WXW5_9DELT	Unreviewed	352	B6WXW5	Desulfovibrio piger ATCC 29098.	411464	ABXU01000084	EEB32203.1	IPR020622	PF01168
A6D965	A6D965_9VIBR	Unreviewed	210	A6D965	Vibrio shilonii AK1.	391591	ABCH01000094	EDL50849.1	IPR011078	PF01168
C5B2S5	C5B2S5_METEA	Unreviewed	342	C5B2S5	Methylobacterium extorquens (strain ATCC 14718 / DSM 1338 / AM1).	272630	CP001510	ACS41955.1	IPR020622	PF01168
B7L2N7	B7L2N7_METC4	Unreviewed	342	B7L2N7	Methylobacterium chloromethanicum (strain CM4 / NCIMB 13688).	440085	CP001298	ACK85081.1	IPR020622	PF01168
A9W8F9	A9W8F9_METEP	Unreviewed	342	A9W8F9	Methylobacterium extorquens (strain PA1).	419610	CP000908	ABY32308.1	IPR020622	PF01168
B5IPE9	B5IPE9_9CHRO	Unreviewed	220	B5IPE9	Cyanobium sp. PCC 7001.	180281	DS990556	EDY38577.1	IPR011078	PF01168
C1XJT7										
A4G5X8	A4G5X8_HERAR	Unreviewed	348	A4G5X8	Herminiimonas arsenicoxydans.	204773	CU207211	CAL61915.1	IPR020622	PF01168
B9M4Q3	B9M4Q3_GEOSF	Unreviewed	351	B9M4Q3	Geobacter sp. (strain FRC-32).	316067	CP001390	ACM19779.1	IPR020622	PF01168
C1D1G3	C1D1G3_DEIDV	Unreviewed	209	C1D1G3	Deinococcus deserti (strain VCD115 / DSM 17065 / LMG 22923).	546414	CP001114	ACO45687.1	IPR011078	PF01168
A3Z5P5	A3Z5P5_9SYNE	Unreviewed	361	A3Z5P5	Synechococcus sp. RS9917.	221360	AANP01000002	EAQ69677.1	IPR001608	PF01168
B7A7P0	B7A7P0_THEAQ	Unreviewed	211	B7A7P0	Thermus aquaticus Y51MC23.	498848	ABVK02000004	EED10277.1	IPR011078	PF01168
Q6AE68	Q6AE68_LEIXX	Unreviewed	214	Q6AE68	Leifsonia xyli subsp. xyli.	59736	AE016822	AAT89328.1	IPR011078	PF01168
B9D308	B9D308_WOLRE	Unreviewed	211	B9D308	Campylobacter rectus RM3267.	553218	ACFU01000016	EEF13656.1	IPR011078	PF01168
A6BEC1	A6BEC1_9FIRM	Unreviewed	366	A6BEC1	Dorea longicatena DSM 13814.	411462	AAXB02000002	EDM63960.1	IPR001608	PF01168
A0NQG9	A0NQG9_9RHOB	Unreviewed	334	A0NQG9	Labrenzia aggregata IAM 12614.	384765	AAUW01000004	EAV45027.1	IPR001608	PF01168
C1XQ32										
A1AVQ9	A1AVQ9_RUTMC	Unreviewed	212	A1AVQ9	Ruthia magnifica subsp. Calyptogena magnifica.	413404	CP000488	ABL02016.1	IPR011078	PF01168
A8RA94	A8RA94_9FIRM	Unreviewed	215	A8RA94	Eubacterium dolichum DSM 3991.	428127	ABAW02000018	EDP11567.1	IPR011078	PF01168
A5GR63	A5GR63_SYNR3	Unreviewed	212	A5GR63	Synechococcus sp. (strain RCC307).	316278	CT978603	CAK27372.1	IPR011078	PF01168
A5GJ82	A5GJ82_SYNPW	Unreviewed	216	A5GJ82	Synechococcus sp. (strain WH7803).	32051	CT971583	CAK22997.1	IPR011078	PF01168
Q46A69	Q46A69_METBF	Unreviewed	214	Q46A69	Methanosarcina barkeri (strain Fusaro / DSM 804).	269797	CP000099	AAZ71223.1	IPR011078	PF01168
A4CWK9	A4CWK9_SYNPV	Unreviewed	216	A4CWK9	Synechococcus sp. (strain WH7805).	59931	AAOK01000004	EAR18380.1	IPR011078	PF01168
B9KMI2	B9KMI2_RHOSK	Unreviewed	221	B9KMI2	Rhodobacter sphaeroides (strain KD131 / KCTC 12085).	557760	CP001150	ACM02073.1	IPR011078	PF01168
A4WXA1	A4WXA1_RHOS5	Unreviewed	220	A4WXA1	Rhodobacter sphaeroides (strain ATCC 17025 / ATH 2.4.3).	349102	CP000661	ABP72015.1	IPR011078	PF01168
A7II02	A7II02_XANP2	Unreviewed	357	A7II02	Xanthobacter autotrophicus (strain ATCC BAA-1158 / Py2).	78245	CP000781	ABS67645.1	IPR020622	PF01168
A3PMN8	A3PMN8_RHOS1	Unreviewed	221	A3PMN8	Rhodobacter sphaeroides (strain ATCC 17029 / ATH 2.4.9).	349101	CP000577	ABN77604.1	IPR011078	PF01168
Q3IZK9	Q3IZK9_RHOS4	Unreviewed	221	Q3IZK9	158).	272943	CP000143	ABA80025.1	IPR011078	PF01168
A3VZK3	A3VZK3_9RHOB	Unreviewed	217	A3VZK3	Roseovarius sp. 217.	314264	AAMV01000002	EAQ26277.1	IPR011078	PF01168
A3X6W6	A3X6W6_9RHOB	Unreviewed	219	A3X6W6	Roseobacter sp. MED193.	314262	AANB01000002	EAQ46441.1	IPR011078	PF01168
A3S8Z0	A3S8Z0_9RHOB	Unreviewed	217	A3S8Z0	Sulfitobacter sp. EE-36.	52598	AALV01000001	EAP85479.1	IPR011078	PF01168
B5IZJ7	B5IZJ7_9RHOB	Unreviewed	217	B5IZJ7	Octadecabacter antarcticus 307.	391626	DS990574	EDY77061.1	IPR011078	PF01168
B6AUI5	B6AUI5_9RHOB	Unreviewed	218	B6AUI5	Rhodobacterales bacterium HTCC2083.	314270	DS995276	EDZ41685.1	IPR011078	PF01168
A4EU06	A4EU06_9RHOB	Unreviewed	219	A4EU06	Roseobacter sp. SK209-2-6.	388739	AAYC01000004	EBA17195.1	IPR011078	PF01168
A9FAK7	A9FAK7_9RHOB	Unreviewed	218	A9FAK7	Phaeobacter gallaeciensis 2.10.	383629	ABIE01000015	EDQ07783.1	IPR011078	PF01168
A9DWM6	A9DWM6_9RHOB	Unreviewed	217	A9DWM6	Oceanibulbus indolifex HEL-45.	391624	ABID01000001	EDQ06660.1	IPR011078	PF01168
B7QT34	B7QT34_9RHOB	Unreviewed	218	B7QT34	Ruegeria sp. R11.	439497	DS999054	EEB71331.1	IPR011078	PF01168
A9GP67	A9GP67_9RHOB	Unreviewed	218	A9GP67	Phaeobacter gallaeciensis BS107.	391619	ABIF01000013	EDQ11251.1	IPR011078	PF01168
A3SI92	A3SI92_9RHOB	Unreviewed	216	A3SI92	Roseovarius nubinhibens ISM.	89187	AALY01000001	EAP77073.1	IPR011078	PF01168
Q2CBC8	Q2CBC8_9RHOB	Unreviewed	216	Q2CBC8	Oceanicola granulosus HTCC2516.	314256	AAOT01000040	EAR49970.1	IPR011078	PF01168
Q0FDR4	Q0FDR4_9RHOB	Unreviewed	217	Q0FDR4	Rhodobacterales bacterium HTCC2255.	367336	AATR01000002	EAU52430.1	IPR011078	PF01168
A1B5Q2	A1B5Q2_PARDP	Unreviewed	217	A1B5Q2	Paracoccus denitrificans (strain Pd 1222).	318586	CP000489	ABL70846.1	IPR011078	PF01168
Q9A3U6	Q9A3U6_CAUCR	Unreviewed	369	Q9A3U6	Caulobacter crescentus (Caulobacter vibrioides).	155892	AE005673	AAK25068.1	IPR001608	PF01168
A3K5H7	A3K5H7_9RHOB	Unreviewed	217	A3K5H7	Sagittula stellata E-37.	388399	AAYA01000009	EBA07366.1	IPR011078	PF01168
A7I104	A7I104_CAMHC	Unreviewed	215	A7I104	CH001A).	360107	CP000776	ABS52435.1	IPR011078	PF01168
A6DWW6	A6DWW6_9RHOB	Unreviewed	217	A6DWW6	Roseovarius sp. TM1035.	391613	ABCL01000002	EDM32598.1	IPR011078	PF01168
B5K5T6	B5K5T6_9RHOB	Unreviewed	217	B5K5T6	Octadecabacter antarcticus 238.	391616	DS990628	EDY90942.1	IPR011078	PF01168
A2TTP9	A2TTP9_9FLAO	Unreviewed	215	A2TTP9	Dokdonia donghaensis MED134.	313590	AAMZ01000004	EAQ38764.1	IPR011078	PF01168
Q1GKN5	Q1GKN5_SILST	Unreviewed	218	Q1GKN5	Silicibacter sp. (strain TM1040).	292414	CP000377	ABF62781.1	IPR011078	PF01168
A6FU50	A6FU50_9RHOB	Unreviewed	217	A6FU50	Roseobacter sp. AzwK-3b.	351016	ABCR01000009	EDM70429.1	IPR011078	PF01168
A5KUM8	A5KUM8_9GAMM	Unreviewed	361	A5KUM8	Vibrionales bacterium SWAT-3.	391574	AAZW01000001	EDK31186.1	IPR001608	PF01168
A3STV3	A3STV3_9RHOB	Unreviewed	217	A3STV3	Sulfitobacter sp. NAS-14.1.	314267	AALZ01000001	EAP82272.1	IPR011078	PF01168
A3Z9Z8	A3Z9Z8_9SYNE	Unreviewed	221	A3Z9Z8	Synechococcus sp. RS9917.	221360	AANP01000007	EAQ68174.1	IPR011078	PF01168
B9NLS1	B9NLS1_9RHOB	Unreviewed	219	B9NLS1	Rhodobacteraceae bacterium KLH11.	467661	DS999531	EEE37134.1	IPR011078	PF01168
C0YJU1	C0YJU1_9FLAO	Unreviewed	219	C0YJU1	Chryseobacterium gleum ATCC 35910.	525257	ACKQ01000007	EEI45280.1	IPR011078	PF01168
A0Q066	A0Q066_CLONN	Unreviewed	223	A0Q066	Clostridium novyi (strain NT).	386415	CP000382	ABK60987.1	IPR011078	PF01168
B5ICK1	B5ICK1_ACIB4	Unreviewed	218	B5ICK1	Aciduliprofundum boonei (strain DSM 19572 / T469).	439481	DS990518	EDY35945.1	IPR011078	PF01168
B2TS19	B2TS19_CLOBB	Unreviewed	224	B2TS19	Clostridium botulinum (strain Eklund 17B / Type B).	508765	CP001056	ACD21956.1	IPR011078	PF01168
A8UMU8	A8UMU8_9FLAO	Unreviewed	219	A8UMU8	Flavobacteriales bacterium ALC-1.	391603	ABHI01000004	EDP69866.1	IPR011078	PF01168
B5IAU7	B5IAU7_ACIB4	Unreviewed	218	B5IAU7	Aciduliprofundum boonei (strain DSM 19572 / T469).	439481	DS990516	EDY36646.1	IPR011078	PF01168
A6ESS2	A6ESS2_9BACT	Unreviewed	219	A6ESS2	unidentified eubacterium SCB49.	50743	ABCO01000009	EDM43257.1	IPR011078	PF01168
Q2KTM5	Q2KTM5_BORA1	Unreviewed	337	Q2KTM5	Bordetella avium (strain 197N).	360910	AM167904	CAJ50985.1	IPR001608	PF01168
Q7WDN5	Q7WDN5_BORBR	Unreviewed	337	Q7WDN5	Bordetella bronchiseptica (Alcaligenes bronchisepticus).	518	BX640452	CAE35317.1	IPR001608	PF01168
